trial_id,mean_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.input_chunk_length,config.output_chunk_length,config.hidden_size,config.batch_size,config.dropout
bcd36_00000,0.0709876472500789,1402.0012691020966,True,,,1,-0.0709876472500789,76548db8c411459cabe9a63f6a3ec3a1,2022-05-21_12-39-09,1653136749,1402.0012691020966,2994433,gpu06,130.149.248.55,1402.0012691020966,0,1,"0_batch_size=256,dropout=0.05,hidden_size=25,input_chunk_length=300,output_chunk_length=300",300,300,25,256,0.05
bcd36_00001,0.11239341822026534,1106.3103330135345,True,,,1,-0.11239341822026534,b3ef0c7f194842ed9f2a79085a7de89f,2022-05-21_12-34-17,1653136457,1106.3103330135345,2994431,gpu06,130.149.248.55,1106.3103330135345,0,1,"1_batch_size=512,dropout=0.05,hidden_size=25,input_chunk_length=300,output_chunk_length=300",300,300,25,512,0.05
bcd36_00002,0.08063537082288527,1413.3546876907349,True,,,1,-0.08063537082288527,d44ee4ce33d3419fa33c46a355ba869e,2022-05-21_12-39-24,1653136764,1413.3546876907349,2994432,gpu06,130.149.248.55,1413.3546876907349,0,1,"2_batch_size=256,dropout=0.1,hidden_size=25,input_chunk_length=300,output_chunk_length=300",300,300,25,256,0.1
bcd36_00003,0.15233395630693677,1103.9711718559265,True,,,1,-0.15233395630693677,835845393bc946579fd7a3c2c735bd57,2022-05-21_12-34-15,1653136455,1103.9711718559265,2994436,gpu06,130.149.248.55,1103.9711718559265,0,1,"3_batch_size=512,dropout=0.1,hidden_size=25,input_chunk_length=300,output_chunk_length=300",300,300,25,512,0.1
bcd36_00004,0.08728491052390512,1600.3744220733643,True,,,1,-0.08728491052390512,c8e6d69fa20d4e848ed6e997cb4982a5,2022-05-21_13-01-00,1653138060,1600.3744220733643,2994430,gpu06,130.149.248.55,1600.3744220733643,0,1,"4_batch_size=256,dropout=0.2,hidden_size=25,input_chunk_length=300,output_chunk_length=300",300,300,25,256,0.2
bcd36_00005,0.07349957314927803,1219.9879095554352,True,,,1,-0.07349957314927803,b44ec0c4c59d44b1b98f7e20ece6662d,2022-05-21_12-54-44,1653137684,1219.9879095554352,2994424,gpu06,130.149.248.55,1219.9879095554352,0,1,"5_batch_size=512,dropout=0.2,hidden_size=25,input_chunk_length=300,output_chunk_length=300",300,300,25,512,0.2
bcd36_00006,0.14254785846237417,4660.124030590057,True,,,1,-0.14254785846237417,df4730000e52423fb9a3b79483a26fc4,2022-05-21_13-56-55,1653141415,4660.124030590057,2994427,gpu06,130.149.248.55,4660.124030590057,0,1,"6_batch_size=256,dropout=0.05,hidden_size=75,input_chunk_length=300,output_chunk_length=300",300,300,75,256,0.05
bcd36_00007,0.04798680625741264,4089.160154104233,True,,,1,-0.04798680625741264,35387211418c44c397c4815dc9970c68,2022-05-21_13-47-39,1653140859,4089.160154104233,2994423,gpu06,130.149.248.55,4089.160154104233,0,1,"7_batch_size=512,dropout=0.05,hidden_size=75,input_chunk_length=300,output_chunk_length=300",300,300,75,512,0.05
bcd36_00008,0.03457845788085904,4747.837377309799,True,,,1,-0.03457845788085904,c66e86046b15459abe810fa09809ad87,2022-05-21_14-13-57,1653142437,4747.837377309799,2994420,gpu06,130.149.248.55,4747.837377309799,0,1,"8_batch_size=256,dropout=0.1,hidden_size=75,input_chunk_length=300,output_chunk_length=300",300,300,75,256,0.1
bcd36_00009,0.037284848698090046,4249.323872804642,True,,,1,-0.037284848698090046,8d2bbb3dbdcc4a33b845d6feee6f371b,2022-05-21_14-11-56,1653142316,4249.323872804642,2994422,gpu06,130.149.248.55,4249.323872804642,0,1,"9_batch_size=512,dropout=0.1,hidden_size=75,input_chunk_length=300,output_chunk_length=300",300,300,75,512,0.1
bcd36_00010,0.05871643324053858,4615.384197235107,True,,,1,-0.05871643324053858,f1b6cfbed541456b993df81ae054032c,2022-05-21_15-04-40,1653145480,4615.384197235107,2994434,gpu06,130.149.248.55,4615.384197235107,0,1,"10_batch_size=256,dropout=0.2,hidden_size=75,input_chunk_length=300,output_chunk_length=300",300,300,75,256,0.2
bcd36_00011,0.06894568284082819,4093.1104824543,True,,,1,-0.06894568284082819,a18e07b1de2f4d5dbeb3f7dae1ee3b62,2022-05-21_15-05-14,1653145514,4093.1104824543,2994429,gpu06,130.149.248.55,4093.1104824543,0,1,"11_batch_size=512,dropout=0.2,hidden_size=75,input_chunk_length=300,output_chunk_length=300",300,300,75,512,0.2
bcd36_00012,1.3062096721906147,2949.3080716133118,True,,,1,-1.3062096721906147,a260762b6aba4179afb1741b838319dc,2022-05-21_15-01-11,1653145271,2949.3080716133118,2994425,gpu06,130.149.248.55,2949.3080716133118,0,1,"12_batch_size=256,dropout=0.05,hidden_size=25,input_chunk_length=600,output_chunk_length=300",600,300,25,256,0.05
bcd36_00013,1.4701529837505378,2181.8895173072815,True,,,1,-1.4701529837505378,575606b6e09a4e55a421052ac973a6f0,2022-05-21_14-50-25,1653144625,2181.8895173072815,2994421,gpu06,130.149.248.55,2181.8895173072815,0,1,"13_batch_size=512,dropout=0.05,hidden_size=25,input_chunk_length=600,output_chunk_length=300",600,300,25,512,0.05
bcd36_00014,1.3708665770373483,2797.3717546463013,True,,,1,-1.3708665770373483,47dde1794c364d41ab2abc60617e0034,2022-05-21_15-37-09,1653147429,2797.3717546463013,2994428,gpu06,130.149.248.55,2797.3717546463013,0,1,"14_batch_size=256,dropout=0.1,hidden_size=25,input_chunk_length=600,output_chunk_length=300",600,300,25,256,0.1
bcd36_00015,1.4493899630317968,2036.3697109222412,True,,,1,-1.4493899630317968,e0ba61ed8123419b99b38235fba133b3,2022-05-21_15-35-14,1653147314,2036.3697109222412,2994426,gpu06,130.149.248.55,2036.3697109222412,0,1,"15_batch_size=512,dropout=0.1,hidden_size=25,input_chunk_length=600,output_chunk_length=300",600,300,25,512,0.1
bcd36_00016,1.3507605209726599,2826.6036233901978,True,,,1,-1.3507605209726599,7e62e4df1db84a96bf06e29a93c96521,2022-05-21_15-51-53,1653148313,2826.6036233901978,2997200,gpu06,130.149.248.55,2826.6036233901978,0,1,"16_batch_size=256,dropout=0.2,hidden_size=25,input_chunk_length=600,output_chunk_length=300",600,300,25,256,0.2
bcd36_00017,1.3625494102028048,2052.323378801346,True,,,1,-1.3625494102028048,04138206fffe4858909c61198675f110,2022-05-21_15-39-32,1653147572,2052.323378801346,2997246,gpu06,130.149.248.55,2052.323378801346,0,1,"17_batch_size=512,dropout=0.2,hidden_size=25,input_chunk_length=600,output_chunk_length=300",600,300,25,512,0.2
bcd36_00018,0.16226807238383653,9274.253684043884,True,,,1,-0.16226807238383653,ea80b1d20fb14c0ebeedccaf71ef3a2d,2022-05-21_18-09-53,1653156593,9274.253684043884,2997669,gpu06,130.149.248.55,9274.253684043884,0,1,"18_batch_size=256,dropout=0.05,hidden_size=75,input_chunk_length=600,output_chunk_length=300",600,300,75,256,0.05
bcd36_00019,1.2670947579607816,8328.602655649185,True,,,1,-1.2670947579607816,9eacbf99371647239202084ae42b1418,2022-05-21_17-56-03,1653155763,8328.602655649185,2997724,gpu06,130.149.248.55,8328.602655649185,0,1,"19_batch_size=512,dropout=0.05,hidden_size=75,input_chunk_length=600,output_chunk_length=300",600,300,75,512,0.05
bcd36_00020,1.5329793033519366,9500.143625736237,True,,,1,-1.5329793033519366,83e67e5b1c4a44d0aae79aa03478e7b8,2022-05-21_18-17-58,1653157078,9500.143625736237,2997788,gpu06,130.149.248.55,9500.143625736237,0,1,"20_batch_size=256,dropout=0.1,hidden_size=75,input_chunk_length=600,output_chunk_length=300",600,300,75,256,0.1
bcd36_00021,1.1113234598524917,8332.393244504929,True,,,1,-1.1113234598524917,ad06bffd02ae4c5ea338ba3be3e23f58,2022-05-21_18-10-52,1653156652,8332.393244504929,2997978,gpu06,130.149.248.55,8332.393244504929,0,1,"21_batch_size=512,dropout=0.1,hidden_size=75,input_chunk_length=600,output_chunk_length=300",600,300,75,512,0.1
bcd36_00022,1.1759156261871784,8661.488065242767,True,,,1,-1.1759156261871784,8d43979e2630490db7389aa18104c28f,2022-05-21_20-20-30,1653164430,8661.488065242767,2999549,gpu06,130.149.248.55,8661.488065242767,0,1,"22_batch_size=256,dropout=0.2,hidden_size=75,input_chunk_length=600,output_chunk_length=300",600,300,75,256,0.2
bcd36_00023,1.4443140594016939,7535.7228055000305,True,,,1,-1.4443140594016939,47ce37a1a7ee4bf28accff854fddc22f,2022-05-21_20-15-35,1653164135,7535.7228055000305,2999770,gpu06,130.149.248.55,7535.7228055000305,0,1,"23_batch_size=512,dropout=0.2,hidden_size=75,input_chunk_length=600,output_chunk_length=300",600,300,75,512,0.2
bcd36_00024,0.30012277335965615,1753.1870040893555,True,,,1,-0.30012277335965615,795511c240c745e9a24dc541c9c1a75c,2022-05-21_18-40-11,1653158411,1753.1870040893555,2999817,gpu06,130.149.248.55,1753.1870040893555,0,1,"24_batch_size=256,dropout=0.05,hidden_size=25,input_chunk_length=300,output_chunk_length=600",300,600,25,256,0.05
bcd36_00025,0.07881394607702101,1323.5696158409119,True,,,1,-0.07881394607702101,4949cf4f16b54ed8bc8e8882f0d6a866,2022-05-21_18-40-07,1653158407,1323.5696158409119,2999941,gpu06,130.149.248.55,1323.5696158409119,0,1,"25_batch_size=512,dropout=0.05,hidden_size=25,input_chunk_length=300,output_chunk_length=600",300,600,25,512,0.05
bcd36_00026,0.1297918439236666,1699.5658583641052,True,,,1,-0.1297918439236666,4554d134a9904fbe9948a23a8a388590,2022-05-21_19-08-33,1653160113,1699.5658583641052,3000250,gpu06,130.149.248.55,1699.5658583641052,0,1,"26_batch_size=256,dropout=0.1,hidden_size=25,input_chunk_length=300,output_chunk_length=600",300,600,25,256,0.1
bcd36_00027,0.06830516704152373,1343.5050103664398,True,,,1,-0.06830516704152373,321523cab8c6404abc9002a4355b5a35,2022-05-21_19-02-41,1653159761,1343.5050103664398,3000281,gpu06,130.149.248.55,1343.5050103664398,0,1,"27_batch_size=512,dropout=0.1,hidden_size=25,input_chunk_length=300,output_chunk_length=600",300,600,25,512,0.1
bcd36_00028,0.06126111752715956,1742.7835891246796,True,,,1,-0.06126111752715956,208b66913ce844b584a6766764edf544,2022-05-21_19-31-49,1653161509,1742.7835891246796,3000646,gpu06,130.149.248.55,1742.7835891246796,0,1,"28_batch_size=256,dropout=0.2,hidden_size=25,input_chunk_length=300,output_chunk_length=600",300,600,25,256,0.2
bcd36_00029,0.09292718531826667,1325.1335260868073,True,,,1,-0.09292718531826667,9e7a2bf07f0141b9bbef6fd482676268,2022-05-21_19-30-44,1653161444,1325.1335260868073,3000752,gpu06,130.149.248.55,1325.1335260868073,0,1,"29_batch_size=512,dropout=0.2,hidden_size=25,input_chunk_length=300,output_chunk_length=600",300,600,25,512,0.2
bcd36_00030,0.07695428782147372,4913.4646854400635,True,,,1,-0.07695428782147372,48f44da385b44b1e98fdbfd38895dcd5,2022-05-21_20-52-43,1653166363,4913.4646854400635,3001064,gpu06,130.149.248.55,4913.4646854400635,0,1,"30_batch_size=256,dropout=0.05,hidden_size=75,input_chunk_length=300,output_chunk_length=600",300,600,75,256,0.05
bcd36_00031,0.03979292315235677,4384.782226800919,True,,,1,-0.03979292315235677,b9af9ea4ee2f490298527f7debba01a2,2022-05-21_20-45-00,1653165900,4384.782226800919,3001111,gpu06,130.149.248.55,4384.782226800919,0,1,"31_batch_size=512,dropout=0.05,hidden_size=75,input_chunk_length=300,output_chunk_length=600",300,600,75,512,0.05
bcd36_00032,0.06431805609440432,4865.655476331711,True,,,1,-0.06431805609440432,06d555f91d1b4f4a8cd4d1a2a4974f5a,2022-05-21_21-36-47,1653169007,4865.655476331711,3001684,gpu06,130.149.248.55,4865.655476331711,0,1,"32_batch_size=256,dropout=0.1,hidden_size=75,input_chunk_length=300,output_chunk_length=600",300,600,75,256,0.1
bcd36_00033,0.09010650016344811,4295.729839801788,True,,,1,-0.09010650016344811,392706e645ad4740b0e1ad65db3cff72,2022-05-21_21-32-11,1653168731,4295.729839801788,3001782,gpu06,130.149.248.55,4295.729839801788,0,1,"33_batch_size=512,dropout=0.1,hidden_size=75,input_chunk_length=300,output_chunk_length=600",300,600,75,512,0.1
bcd36_00034,0.052623398790657645,4653.716911792755,True,,,1,-0.052623398790657645,90739cee88ab4ce48727cb7959ca2dcb,2022-05-21_22-02-40,1653170560,4653.716911792755,3002117,gpu06,130.149.248.55,4653.716911792755,0,1,"34_batch_size=256,dropout=0.2,hidden_size=75,input_chunk_length=300,output_chunk_length=600",300,600,75,256,0.2
bcd36_00035,0.06472517607134183,4208.98955821991,True,,,1,-0.06472517607134183,567faac9ef3c4e43b30e684099c6cd9e,2022-05-21_22-02-58,1653170578,4208.98955821991,3002251,gpu06,130.149.248.55,4208.98955821991,0,1,"35_batch_size=512,dropout=0.2,hidden_size=75,input_chunk_length=300,output_chunk_length=600",300,600,75,512,0.2
bcd36_00036,0.914022016573143,2803.3437535762787,True,,,1,-0.914022016573143,0ca8b852c45a48d796c8d918f62ddb25,2022-05-21_22-19-00,1653171540,2803.3437535762787,3002775,gpu06,130.149.248.55,2803.3437535762787,0,1,"36_batch_size=256,dropout=0.05,hidden_size=25,input_chunk_length=600,output_chunk_length=600",600,600,25,256,0.05
bcd36_00037,0.9265853592232612,2168.482771396637,True,,,1,-0.9265853592232612,cfd753234a3647d8b9906ea427a34c05,2022-05-21_22-13-02,1653171182,2168.482771396637,3002867,gpu06,130.149.248.55,2168.482771396637,0,1,"37_batch_size=512,dropout=0.05,hidden_size=25,input_chunk_length=600,output_chunk_length=600",600,600,25,512,0.05
bcd36_00038,0.9410247685655286,2699.2559752464294,True,,,1,-0.9410247685655286,5642a7929101490c9fcbd6e586980df6,2022-05-21_22-47-45,1653173265,2699.2559752464294,3003218,gpu06,130.149.248.55,2699.2559752464294,0,1,"38_batch_size=256,dropout=0.1,hidden_size=25,input_chunk_length=600,output_chunk_length=600",600,600,25,256,0.1
bcd36_00039,0.9634021012039056,2075.3895077705383,True,,,1,-0.9634021012039056,3947d9030278427199ee8595a7806657,2022-05-21_22-37-39,1653172659,2075.3895077705383,3003257,gpu06,130.149.248.55,2075.3895077705383,0,1,"39_batch_size=512,dropout=0.1,hidden_size=25,input_chunk_length=600,output_chunk_length=600",600,600,25,512,0.1
bcd36_00040,0.12827767846745217,2773.942928314209,True,,,1,-0.12827767846745217,0ecf7d8aeaf547c88f765081b58c6d4a,2022-05-21_22-59-21,1653173961,2773.942928314209,3003414,gpu06,130.149.248.55,2773.942928314209,0,1,"40_batch_size=256,dropout=0.2,hidden_size=25,input_chunk_length=600,output_chunk_length=600",600,600,25,256,0.2
bcd36_00041,1.034644820112378,2100.730254650116,True,,,1,-1.034644820112378,2f976c900fde45babafad64d32c0300b,2022-05-21_22-54-07,1653173647,2100.730254650116,3003525,gpu06,130.149.248.55,2100.730254650116,0,1,"41_batch_size=512,dropout=0.2,hidden_size=25,input_chunk_length=600,output_chunk_length=600",600,600,25,512,0.2
bcd36_00042,0.2085826636245831,9185.050418615341,True,,,1,-0.2085826636245831,a0d531082e424845b467a9b6bc0b74a3,2022-05-22_01-10-50,1653181850,9185.050418615341,3003790,gpu06,130.149.248.55,9185.050418615341,0,1,"42_batch_size=256,dropout=0.05,hidden_size=75,input_chunk_length=600,output_chunk_length=600",600,600,75,256,0.05
bcd36_00043,0.29560414621882736,8306.752481937408,True,,,1,-0.29560414621882736,c01e31f050bd47b49968b45484522f57,2022-05-22_01-06-17,1653181577,8306.752481937408,3003953,gpu06,130.149.248.55,8306.752481937408,0,1,"43_batch_size=512,dropout=0.05,hidden_size=75,input_chunk_length=600,output_chunk_length=600",600,600,75,512,0.05
bcd36_00044,0.08694038853996032,9140.539809465408,True,,,1,-0.08694038853996032,800fcad090074a0e87bf807d4db5e437,2022-05-22_01-26-34,1653182794,9140.539809465408,3004064,gpu06,130.149.248.55,9140.539809465408,0,1,"44_batch_size=256,dropout=0.1,hidden_size=75,input_chunk_length=600,output_chunk_length=600",600,600,75,256,0.1
bcd36_00045,0.9041968251160027,8413.759253501892,True,,,1,-0.9041968251160027,e5e32dc50e35406a8a2025ca87dbf030,2022-05-22_01-19-41,1653182381,8413.759253501892,3004165,gpu06,130.149.248.55,8413.759253501892,0,1,"45_batch_size=512,dropout=0.1,hidden_size=75,input_chunk_length=600,output_chunk_length=600",600,600,75,512,0.1
bcd36_00046,0.161025075775491,5015.711036205292,True,,,1,-0.161025075775491,7db1f2981a1f409aa43b8cb26c4148eb,2022-05-22_02-29-59,1653186599,5015.711036205292,3005803,gpu06,130.149.248.55,5015.711036205292,0,1,"46_batch_size=256,dropout=0.2,hidden_size=75,input_chunk_length=600,output_chunk_length=600",600,600,75,256,0.2
bcd36_00047,1.2395066979967737,4583.130448579788,True,,,1,-1.2395066979967737,4d52f7e8dd8643afa4ec84efb3eded71,2022-05-22_02-27-19,1653186439,4583.130448579788,3005892,gpu06,130.149.248.55,4583.130448579788,0,1,"47_batch_size=512,dropout=0.2,hidden_size=75,input_chunk_length=600,output_chunk_length=600",600,600,75,512,0.2
